Date,Consolidated,Description,Catgory 1,Category 2,Category 3,Debit,Credit,Balance,DR/CR
13/2/2020,"Audible /Expense/Leisure & Lifestyle/Tv, Music & Streaming",Audible ,Expense,Leisure & Lifestyle,"Tv, Music & Streaming",26,0,2564,DR
14/2/2020,YMCA /Expense/Personal/Fitness & Wellbeing,YMCA ,Expense,Personal,Fitness & Wellbeing,119,0,2445,DR
14/2/2020,"EB Games /Expense/Leisure & Lifestyle/Apps, Games & Software",EB Games ,Expense,Leisure & Lifestyle,"Apps, Games & Software",211,0,2234,DR
16/2/2020,"JAX Tyres /Expense/Transport/Car Insurance, Rego & Maintenance",JAX Tyres ,Expense,Transport,"Car Insurance, Rego & Maintenance",199,0,2035,DR
17/2/2020,"Repco /Expense/Transport/Car Insurance, Rego & Maintenance",Repco ,Expense,Transport,"Car Insurance, Rego & Maintenance",92,0,1943,DR
18/2/2020,Music Academy /Expense/Leisure & Lifestyle/Hobbies,Music Academy ,Expense,Leisure & Lifestyle,Hobbies,105,0,1838,DR
18/2/2020,Child Support Agency Deposit /Income/Income/Other Income,Child Support Agency Deposit ,Income,Income,Other Income,29,0,1809,DR
18/2/2020,Big W /Expense/Personal/Children & Family,Big W ,Expense,Personal,Children & Family,136,0,1673,DR
19/2/2020,Taronga Zoo /Expense/Leisure & Lifestyle/Entertainment,Taronga Zoo ,Expense,Leisure & Lifestyle,Entertainment,69,0,1604,DR
19/2/2020,Ballet Schools /Expense/Personal/Fitness & Wellbeing,Ballet Schools ,Expense,Personal,Fitness & Wellbeing,157,0,1447,DR
19/2/2020,Tennis Australia /Expense/Personal/Fitness & Wellbeing,Tennis Australia ,Expense,Personal,Fitness & Wellbeing,35,0,1412,DR
19/2/2020, Jim's Mowing /Expense/Household/Maintenance & Improvements, Jim's Mowing ,Expense,Household,Maintenance & Improvements,118,0,1294,DR
19/2/2020,Myer /Expense/Personal/Clothing & Accessories,Myer ,Expense,Personal,Clothing & Accessories,97,0,1197,DR
20/2/2020,Liquorland /Expense/Leisure & Lifestyle/Alcohol,Liquorland ,Expense,Leisure & Lifestyle,Alcohol,120,0,1077,DR
20/2/2020, Meriton Apartments /Expense/Household/Rates & Insurance, Meriton Apartments ,Expense,Household,Rates & Insurance,28,0,1049,DR
20/2/2020,Jetts Fitness /Expense/Personal/Fitness & Wellbeing,Jetts Fitness ,Expense,Personal,Fitness & Wellbeing,47,0,1002,DR
21/2/2020, Rentokil /Expense/Household/Maintenance & Improvements, Rentokil ,Expense,Household,Maintenance & Improvements,23,0,979,DR
21/2/2020,Officeworks /Expense/Personal/Life Admin,Officeworks ,Expense,Personal,Life Admin,52,0,927,DR
21/2/2020,ABC Reading Eggs /Expense/Personal/Education,ABC Reading Eggs ,Expense,Personal,Education,57,0,870,DR
22/2/2020,Westpac Dividend Deposit /Income/Income/Investments,Westpac Dividend Deposit ,Income,Income,Investments,17,0,853,DR
23/2/2020,"Adairs /Expense/Household/Furniture, Electronics & Homewares",Adairs ,Expense,Household,"Furniture, Electronics & Homewares",72,0,781,DR
24/2/2020,OfficeMax /Expense/Personal/Life Admin,OfficeMax ,Expense,Personal,Life Admin,61,0,720,DR
25/2/2020,ABC Reading Eggs /Expense/Personal/Education,ABC Reading Eggs ,Expense,Personal,Education,34,0,686,DR
26/2/2020,Dan Murphy’s /Expense/Leisure & Lifestyle/Alcohol,Dan Murphy’s ,Expense,Leisure & Lifestyle,Alcohol,20,0,666,DR
26/2/2020,Culture Kings /Expense/Personal/Clothing & Accessories,Culture Kings ,Expense,Personal,Clothing & Accessories,50,0,616,DR
28/2/2020,PayPal Transfer from Sale /Income/Income/Other Income,PayPal Transfer from Sale ,Income,Income,Other Income,19,0,597,DR
1/3/2020,Monthly Income,Monthly Income,Income,Income,Wages,0,6000,6597,CR
3/3/2020,The Espy /Expense/Leisure & Lifestyle/Pubs & Bars,The Espy ,Expense,Leisure & Lifestyle,Pubs & Bars,60,0,6537,DR
3/3/2020,Medicare Claim /Expense/Personal/Health & Medical,Medicare Claim ,Expense,Personal,Health & Medical,309,0,6228,DR
3/3/2020,"EB Games /Expense/Leisure & Lifestyle/Apps, Games & Software",EB Games ,Expense,Leisure & Lifestyle,"Apps, Games & Software",357,0,5871,DR
4/3/2020,Centrelink JobSeeker Payment /Income/Income/Other Income,Centrelink JobSeeker Payment ,Income,Income,Other Income,39,0,5832,DR
4/3/2020,Ice Cream Parlour /Expense/Leisure & Lifestyle/Takeaway,Ice Cream Parlour ,Expense,Leisure & Lifestyle,Takeaway,312,0,5520,DR
4/3/2020,The Espy /Expense/Leisure & Lifestyle/Pubs & Bars,The Espy ,Expense,Leisure & Lifestyle,Pubs & Bars,97,0,5423,DR
5/3/2020,Pizza Hut /Expense/Leisure & Lifestyle/Takeaway,Pizza Hut ,Expense,Leisure & Lifestyle,Takeaway,353,0,5070,DR
7/3/2020,Campion Education /Expense/Personal/Children & Family,Campion Education ,Expense,Personal,Children & Family,192,0,4878,DR
7/3/2020,G8 Education /Expense/Personal/Children & Family,G8 Education ,Expense,Personal,Children & Family,196,0,4682,DR
7/3/2020,Massage Therapy Center /Expense/Personal/Health & Medical,Massage Therapy Center ,Expense,Personal,Health & Medical,390,0,4292,DR
8/3/2020,"Car Wash Cafe /Expense/Transport/Car Insurance, Rego & Maintenance",Car Wash Cafe ,Expense,Transport,"Car Insurance, Rego & Maintenance",418,0,3874,DR
8/3/2020,Sylvan Learning /Expense/Personal/Education,Sylvan Learning ,Expense,Personal,Education,371,0,3503,DR
9/3/2020,Target /Expense/Personal/Clothing & Accessories,Target ,Expense,Personal,Clothing & Accessories,342,0,3161,DR
9/3/2020,Myer /Expense/Personal/Clothing & Accessories,Myer ,Expense,Personal,Clothing & Accessories,14,0,3147,DR
9/3/2020,"Kmart Tyre & Auto Service /Expense/Transport/Car Insurance, Rego & Maintenance",Kmart Tyre & Auto Service ,Expense,Transport,"Car Insurance, Rego & Maintenance",261,0,2886,DR
9/3/2020,Optometrist /Expense/Personal/Health & Medical,Optometrist ,Expense,Personal,Health & Medical,14,0,2872,DR
10/3/2020,Petbarn /Expense/Household/Pets,Petbarn ,Expense,Household,Pets,283,0,2589,DR
12/3/2020,Decathlon /Expense/Personal/Fitness & Wellbeing,Decathlon ,Expense,Personal,Fitness & Wellbeing,133,0,2456,DR
12/3/2020,AustralianSuper Pension /Income/Income/Other Income,AustralianSuper Pension ,Income,Income,Other Income,63,0,2393,DR
13/3/2020,Beacon Lighting /Expense/Household/Maintenance & Improvements,Beacon Lighting ,Expense,Household,Maintenance & Improvements,110,0,2283,DR
13/3/2020,McDonald’s /Expense/Leisure & Lifestyle/Takeaway,McDonald’s ,Expense,Leisure & Lifestyle,Takeaway,7,0,2276,DR
14/3/2020,"Bridgestone Select /Expense/Transport/Car Insurance, Rego & Maintenance",Bridgestone Select ,Expense,Transport,"Car Insurance, Rego & Maintenance",227,0,2049,DR
14/3/2020,Flight Centre /Expense/Leisure & Lifestyle/Holidays & Travel,Flight Centre ,Expense,Leisure & Lifestyle,Holidays & Travel,98,0,1951,DR
14/3/2020,Sydney Water /Expense/Household/Utilities,Sydney Water ,Expense,Household,Utilities,139,0,1812,DR
15/3/2020,"JAX Tyres /Expense/Transport/Car Insurance, Rego & Maintenance",JAX Tyres ,Expense,Transport,"Car Insurance, Rego & Maintenance",49,0,1763,DR
16/3/2020,"The Good Guys /Expense/Household/Furniture, Electronics & Homewares",The Good Guys ,Expense,Household,"Furniture, Electronics & Homewares",47,0,1716,DR
17/3/2020,Karate for Kids /Expense/Personal/Fitness & Wellbeing,Karate for Kids ,Expense,Personal,Fitness & Wellbeing,84,0,1632,DR
17/3/2020,ALDI /Expense/Household/Groceries,ALDI ,Expense,Household,Groceries,146,0,1486,DR
17/3/2020,Goodstart Early Learning /Expense/Personal/Children & Family,Goodstart Early Learning ,Expense,Personal,Children & Family,82,0,1404,DR
17/3/2020,Uber /Expense/Transport/Taxies & Share Cars,Uber ,Expense,Transport,Taxies & Share Cars,50,0,1354,DR
17/3/2020,ABC Reading Eggs /Expense/Personal/Education,ABC Reading Eggs ,Expense,Personal,Education,87,0,1267,DR
18/3/2020,"MyCar Tyre & Auto /Expense/Transport/Car Insurance, Rego & Maintenance",MyCar Tyre & Auto ,Expense,Transport,"Car Insurance, Rego & Maintenance",117,0,1150,DR
18/3/2020,Decathlon /Expense/Personal/Fitness & Wellbeing,Decathlon ,Expense,Personal,Fitness & Wellbeing,116,0,1034,DR
18/3/2020,King Swim /Expense/Personal/Fitness & Wellbeing,King Swim ,Expense,Personal,Fitness & Wellbeing,80,0,954,DR
20/3/2020,Target /Expense/Personal/Clothing & Accessories,Target ,Expense,Personal,Clothing & Accessories,83,0,871,DR
20/3/2020,ABC Reading Eggs /Expense/Personal/Education,ABC Reading Eggs ,Expense,Personal,Education,13,0,858,DR
21/3/2020,Upwork Freelancer Payment /Income/Income/Other Income,Upwork Freelancer Payment ,Income,Income,Other Income,41,0,817,DR
22/3/2020,Surfstitch /Expense/Personal/Clothing & Accessories,Surfstitch ,Expense,Personal,Clothing & Accessories,76,0,741,DR
22/3/2020,"Ultra Tune /Expense/Transport/Car Insurance, Rego & Maintenance",Ultra Tune ,Expense,Transport,"Car Insurance, Rego & Maintenance",37,0,704,DR
22/3/2020,QBE Insurance Claim Payout /Income/Income/Other Income,QBE Insurance Claim Payout ,Income,Income,Other Income,65,0,639,DR
22/3/2020,"Kayo Sports /Expense/Leisure & Lifestyle/Tv, Music & Streaming",Kayo Sports ,Expense,Leisure & Lifestyle,"Tv, Music & Streaming",38,0,601,DR
23/3/2020,"Barbeques Galore /Expense/Household/Furniture, Electronics & Homewares",Barbeques Galore ,Expense,Household,"Furniture, Electronics & Homewares",8,0,593,DR
23/3/2020,"Adairs /Expense/Household/Furniture, Electronics & Homewares",Adairs ,Expense,Household,"Furniture, Electronics & Homewares",46,0,547,DR
23/3/2020,Fitness First /Expense/Personal/Fitness & Wellbeing,Fitness First ,Expense,Personal,Fitness & Wellbeing,14,0,533,DR
23/3/2020,Harris Farm Markets /Expense/Household/Groceries,Harris Farm Markets ,Expense,Household,Groceries,46,0,487,DR
23/3/2020,Beachside Caravan Park /Expense/Leisure & Lifestyle/Holidays & Travel,Beachside Caravan Park ,Expense,Leisure & Lifestyle,Holidays & Travel,26,0,461,DR
24/3/2020,"VicRoads /Expense/Transport/Car Insurance, Rego & Maintenance",VicRoads ,Expense,Transport,"Car Insurance, Rego & Maintenance",30,0,431,DR
25/3/2020,Muffin Break /Expense/Leisure & Lifestyle/Restaurants & Cafes,Muffin Break ,Expense,Leisure & Lifestyle,Restaurants & Cafes,16,0,415,DR
25/3/2020,AMF Bowling /Expense/Leisure & Lifestyle/Entertainment,AMF Bowling ,Expense,Leisure & Lifestyle,Entertainment,24,0,391,DR
26/3/2020,Queensland Urban Utilities /Expense/Household/Utilities,Queensland Urban Utilities ,Expense,Household,Utilities,36,0,355,DR
26/3/2020,Zarraffa's Coffee /Expense/Leisure & Lifestyle/Restaurants & Cafes,Zarraffa's Coffee ,Expense,Leisure & Lifestyle,Restaurants & Cafes,14,0,341,DR
27/3/2020,Payday Advance /Income/Income/Other Income,Payday Advance ,Income,Income,Other Income,32,0,309,DR
27/3/2020,The Victory Hotel /Expense/Leisure & Lifestyle/Pubs & Bars,The Victory Hotel ,Expense,Leisure & Lifestyle,Pubs & Bars,25,0,284,DR
27/3/2020,Swim Australia /Expense/Personal/Fitness & Wellbeing,Swim Australia ,Expense,Personal,Fitness & Wellbeing,25,0,259,DR
27/3/2020,SEQTA /Expense/Personal/Education,SEQTA ,Expense,Personal,Education,10,0,249,DR
1/4/2020,Monthly Income,Monthly Income,Income,Income,Wages,0,6000,6249,CR
2/4/2020,Eau De Vie /Expense/Leisure & Lifestyle/Pubs & Bars,Eau De Vie ,Expense,Leisure & Lifestyle,Pubs & Bars,197,0,6052,DR
2/4/2020,Coles Express /Expense/Transport/Fuel,Coles Express ,Expense,Transport,Fuel,229,0,5823,DR
3/4/2020,Country Road /Expense/Personal/Clothing & Accessories,Country Road ,Expense,Personal,Clothing & Accessories,90,0,5733,DR
4/4/2020,ALDI /Expense/Household/Groceries,ALDI ,Expense,Household,Groceries,147,0,5586,DR
4/4/2020,Tennis Australia /Expense/Personal/Fitness & Wellbeing,Tennis Australia ,Expense,Personal,Fitness & Wellbeing,387,0,5199,DR
5/4/2020,Officeworks /Expense/Personal/Life Admin,Officeworks ,Expense,Personal,Life Admin,269,0,4930,DR
5/4/2020,"EB Games /Expense/Leisure & Lifestyle/Apps, Games & Software",EB Games ,Expense,Leisure & Lifestyle,"Apps, Games & Software",435,0,4495,DR
6/4/2020,Ladbrokes /Expense/Leisure & Lifestyle/Lottery & Gambling,Ladbrokes ,Expense,Leisure & Lifestyle,Lottery & Gambling,39,0,4456,DR
7/4/2020,Swim Australia /Expense/Personal/Fitness & Wellbeing,Swim Australia ,Expense,Personal,Fitness & Wellbeing,423,0,4033,DR
7/4/2020,"NRMA Roadside Assistance /Expense/Transport/Car Insurance, Rego & Maintenance",NRMA Roadside Assistance ,Expense,Transport,"Car Insurance, Rego & Maintenance",327,0,3706,DR
8/4/2020,The Iconic /Expense/Personal/Clothing & Accessories,The Iconic ,Expense,Personal,Clothing & Accessories,220,0,3486,DR
9/4/2020,Ladbrokes /Expense/Leisure & Lifestyle/Lottery & Gambling,Ladbrokes ,Expense,Leisure & Lifestyle,Lottery & Gambling,38,0,3448,DR
9/4/2020,Quay Restaurant /Expense/Leisure & Lifestyle/Pubs & Bars,Quay Restaurant ,Expense,Leisure & Lifestyle,Pubs & Bars,324,0,3124,DR
9/4/2020,ABC Reading Eggs /Expense/Personal/Education,ABC Reading Eggs ,Expense,Personal,Education,156,0,2968,DR
9/4/2020,Café Nero /Expense/Leisure & Lifestyle/Restaurants & Cafes,Café Nero ,Expense,Leisure & Lifestyle,Restaurants & Cafes,71,0,2897,DR
10/4/2020,The Victory Hotel /Expense/Leisure & Lifestyle/Pubs & Bars,The Victory Hotel ,Expense,Leisure & Lifestyle,Pubs & Bars,31,0,2866,DR
10/4/2020,Mathnasium /Expense/Personal/Education,Mathnasium ,Expense,Personal,Education,172,0,2694,DR
11/4/2020,Westpac Dividend Deposit /Income/Income/Investments,Westpac Dividend Deposit ,Income,Income,Investments,53,0,2641,DR
12/4/2020,"Adairs /Expense/Household/Furniture, Electronics & Homewares",Adairs ,Expense,Household,"Furniture, Electronics & Homewares",162,0,2479,DR
12/4/2020,Spotlight /Expense/Leisure & Lifestyle/Hobbies,Spotlight ,Expense,Leisure & Lifestyle,Hobbies,214,0,2265,DR
12/4/2020,Karate for Kids /Expense/Personal/Fitness & Wellbeing,Karate for Kids ,Expense,Personal,Fitness & Wellbeing,68,0,2197,DR
13/4/2020,AustralianSuper Pension /Income/Income/Other Income,AustralianSuper Pension ,Income,Income,Other Income,34,0,2163,DR
14/4/2020,Woolworths /Expense/Household/Groceries,Woolworths ,Expense,Household,Groceries,54,0,2109,DR
15/4/2020,Dan Murphy’s /Expense/Leisure & Lifestyle/Alcohol,Dan Murphy’s ,Expense,Leisure & Lifestyle,Alcohol,188,0,1921,DR
15/4/2020,Acupuncture Clinic /Expense/Personal/Health & Medical,Acupuncture Clinic ,Expense,Personal,Health & Medical,139,0,1782,DR
16/4/2020,Melbourne Central Lion Hotel /Expense/Leisure & Lifestyle/Pubs & Bars,Melbourne Central Lion Hotel ,Expense,Leisure & Lifestyle,Pubs & Bars,148,0,1634,DR
17/4/2020,Beach Café /Expense/Leisure & Lifestyle/Restaurants & Cafes,Beach Café ,Expense,Leisure & Lifestyle,Restaurants & Cafes,23,0,1611,DR
17/4/2020,Pizza Hut /Expense/Leisure & Lifestyle/Takeaway,Pizza Hut ,Expense,Leisure & Lifestyle,Takeaway,88,0,1523,DR
18/4/2020,The Baxter Inn /Expense/Leisure & Lifestyle/Pubs & Bars,The Baxter Inn ,Expense,Leisure & Lifestyle,Pubs & Bars,40,0,1483,DR
18/4/2020,Acupuncture Clinic /Expense/Personal/Health & Medical,Acupuncture Clinic ,Expense,Personal,Health & Medical,144,0,1339,DR
18/4/2020,Lorna Jane /Expense/Personal/Clothing & Accessories,Lorna Jane ,Expense,Personal,Clothing & Accessories,18,0,1321,DR
18/4/2020,Coles /Expense/Household/Groceries,Coles ,Expense,Household,Groceries,88,0,1233,DR
19/4/2020,David Jones /Expense/Personal/Clothing & Accessories,David Jones ,Expense,Personal,Clothing & Accessories,82,0,1151,DR
19/4/2020,"Stan /Expense/Leisure & Lifestyle/Tv, Music & Streaming",Stan ,Expense,Leisure & Lifestyle,"Tv, Music & Streaming",115,0,1036,DR
21/4/2020,BWS /Expense/Leisure & Lifestyle/Alcohol,BWS ,Expense,Leisure & Lifestyle,Alcohol,81,0,955,DR
21/4/2020,"JAX Tyres /Expense/Transport/Car Insurance, Rego & Maintenance",JAX Tyres ,Expense,Transport,"Car Insurance, Rego & Maintenance",93,0,862,DR
22/4/2020,SEQTA /Expense/Personal/Education,SEQTA ,Expense,Personal,Education,9,0,853,DR
23/4/2020,Kumon /Expense/Personal/Education,Kumon ,Expense,Personal,Education,82,0,771,DR
23/4/2020,Acupuncture Clinic /Expense/Personal/Health & Medical,Acupuncture Clinic ,Expense,Personal,Health & Medical,53,0,718,DR
23/4/2020,Guardian Childcare & Education /Expense/Personal/Children & Family,Guardian Childcare & Education ,Expense,Personal,Children & Family,23,0,695,DR
24/4/2020,Sylvan Learning /Expense/Personal/Education,Sylvan Learning ,Expense,Personal,Education,57,0,638,DR
25/4/2020,SEQTA /Expense/Personal/Education,SEQTA ,Expense,Personal,Education,24,0,614,DR
26/4/2020,McDonald’s /Expense/Leisure & Lifestyle/Takeaway,McDonald’s ,Expense,Leisure & Lifestyle,Takeaway,43,0,571,DR
26/4/2020,"The Good Guys /Expense/Household/Furniture, Electronics & Homewares",The Good Guys ,Expense,Household,"Furniture, Electronics & Homewares",55,0,516,DR
26/4/2020,Sea Kayak Tours /Expense/Leisure & Lifestyle/Holidays & Travel,Sea Kayak Tours ,Expense,Leisure & Lifestyle,Holidays & Travel,52,0,464,DR
26/4/2020, Commonwealth Bank /Expense/Household/Rent & Mortgage, Commonwealth Bank ,Expense,Household,Rent & Mortgage,13,0,451,DR
26/4/2020,The Ivy /Expense/Leisure & Lifestyle/Pubs & Bars,The Ivy ,Expense,Leisure & Lifestyle,Pubs & Bars,9,0,442,DR
27/4/2020,Sunburn Swimwear /Expense/Personal/Clothing & Accessories,Sunburn Swimwear ,Expense,Personal,Clothing & Accessories,14,0,428,DR
27/4/2020,T2 Tea /Expense/Personal/Fitness & Wellbeing,T2 Tea ,Expense,Personal,Fitness & Wellbeing,9,0,419,DR
1/5/2020,Monthly Income,Monthly Income,Income,Income,Wages,0,6000,6419,CR
3/5/2020,YMCA /Expense/Personal/Fitness & Wellbeing,YMCA ,Expense,Personal,Fitness & Wellbeing,306,0,6113,DR
3/5/2020,"MyCar Tyre & Auto /Expense/Transport/Car Insurance, Rego & Maintenance",MyCar Tyre & Auto ,Expense,Transport,"Car Insurance, Rego & Maintenance",182,0,5931,DR
5/5/2020,G8 Education /Expense/Personal/Children & Family,G8 Education ,Expense,Personal,Children & Family,309,0,5622,DR
7/5/2020,Event Cinemas /Expense/Leisure & Lifestyle/Entertainment,Event Cinemas ,Expense,Leisure & Lifestyle,Entertainment,214,0,5408,DR
8/5/2020,McDonald’s /Expense/Leisure & Lifestyle/Takeaway,McDonald’s ,Expense,Leisure & Lifestyle,Takeaway,164,0,5244,DR
10/5/2020,CommSec Share Trading Gains /Income/Income/Investments,CommSec Share Trading Gains ,Income,Income,Investments,350,0,4894,DR
11/5/2020,Flight Centre /Expense/Leisure & Lifestyle/Holidays & Travel,Flight Centre ,Expense,Leisure & Lifestyle,Holidays & Travel,385,0,4509,DR
