Transaction_ID,User_ID,Date,Description,Category 1,Category 2,Category 3,Debit,Credit,Balance,Type
55,123,2021-03-15,Toyota Finance,Expense,Transport,Car Repayments,472.93,0,11165.58,D
47,123,2021-03-16,Uniqlo,Expense,Personal,Clothing & Accessories,431.48,0,10734.1,D
56,123,2021-03-16,Lawyer,Expense,Personal,Life Admin,434.68,0,10299.42,D
46,123,2021-03-18,Rooftop Bar,Expense,Leisure & Lifestyle,Pubs & Bars,68.76,0,10230.66,D
52,123,2021-03-22,Chemist Warehouse,Expense,Personal,Health & Medical,230.45,0,10000.21,D
54,123,2021-03-22,Steam,Expense,Leisure & Lifestyle,"Apps, Games & Software",86.89,0,9913.32,D
49,123,2021-03-24,Stock Purchase,Income,Income,Investments,310.8,0,9602.52,D
48,123,2021-03-29,Cycling Apparel Store,Expense,Transport,Cycling,124.8,0,9477.72,D
58,123,2021-04-01,Salary,Income,Income,Wages,0,8000,17477.72,C
61,123,2021-04-03,NRMA,Expense,Transport,"Car Insurance, Rego & Maintenance",60.83,0,17416.89,D
63,123,2021-04-07,Post Office,Expense,Personal,Life Admin,190.02,0,17226.87,D
65,123,2021-04-07,Greencross Vets,Expense,Household,Pets,33.45,0,17193.42,D
59,123,2021-04-09,Real Estate Agency,Expense,Household,Rent & Mortgage,179.8,0,17013.62,D
68,123,2021-04-15,Secure Parking,Expense,Transport,Parking,400.43,0,16613.19,D
66,123,2021-04-17,Subway,Expense,Leisure & Lifestyle,Restaurants & Cafes,127.26,0,16485.93,D
64,123,2021-04-23,First Choice Liquor,Expense,Leisure & Lifestyle,Alcohol,66.08,0,16419.85,D
60,123,2021-04-25,Vodafone,Expense,Household,Internet,103.14,0,16316.71,D
62,123,2021-04-25,Post Office,Expense,Personal,Life Admin,298.54,0,16018.17,D
67,123,2021-04-27,Online Course Provider,Expense,Personal,Education,438.08,0,15580.09,D
69,123,2021-05-01,Salary,Income,Income,Wages,0,8000,23580.09,C
78,123,2021-05-06,McDonald's,Expense,Leisure & Lifestyle,Restaurants & Cafes,255.55,0,23324.54,D
73,123,2021-05-09,Crown Casino,Expense,Leisure & Lifestyle,Lottery & Gambling,396.95,0,22927.59,D
71,123,2021-05-12,Post Office,Expense,Personal,Life Admin,229.71,0,22697.88,D
77,123,2021-05-13,Subway,Expense,Leisure & Lifestyle,Restaurants & Cafes,452.0,0,22245.88,D
72,123,2021-05-18,Suncorp,Expense,Household,Rates & Insurance,349.08,0,21896.8,D
79,123,2021-05-18,City of Melbourne,Expense,Transport,Parking,410.63,0,21486.17,D
74,123,2021-05-20,The Iconic,Expense,Personal,Clothing & Accessories,27.02,0,21459.15,D
70,123,2021-05-23,Ticketek,Expense,Leisure & Lifestyle,Events & Gigs,287.39,0,21171.76,D
76,123,2021-05-23,Bank Transfer,Transfer,Transfer,Transfer,109.75,0,21062.01,D
75,123,2021-05-27,Bike Shop,Expense,Transport,Cycling,146.98,0,20915.03,D
80,123,2021-06-01,Salary,Income,Income,Wages,0,8000,28915.03,C
86,123,2021-06-02,AGL,Expense,Household,Utilities,236.28,0,28678.75,D
97,123,2021-06-04,Cotton On,Expense,Personal,Clothing & Accessories,157.92,0,28520.83,D
89,123,2021-06-07,Domino's Pizza,Expense,Leisure & Lifestyle,Restaurants & Cafes,249.67,0,28271.16,D
104,123,2021-06-07,Origin Energy,Expense,Household,Utilities,142.14,0,28129.02,D
87,123,2021-06-10,AGL,Expense,Household,Utilities,147.07,0,27981.95,D
82,123,2021-06-11,Anytime Fitness,Expense,Personal,Fitness & Wellbeing,181.53,0,27800.42,D
103,123,2021-06-11,Sportsbet,Expense,Leisure & Lifestyle,Lottery & Gambling,155.08,0,27645.34,D
85,123,2021-06-12,Sports Equipment Store,Expense,Leisure & Lifestyle,Hobbies,445.79,0,27199.55,D
101,123,2021-06-12,Booking.com,Expense,Leisure & Lifestyle,Holidays & Travel,43.77,0,27155.78,D
81,123,2021-06-14,Toys R Us,Expense,Personal,Children & Family,56.24,0,27099.54,D
96,123,2021-06-14,Booking.com,Expense,Leisure & Lifestyle,Holidays & Travel,332.91,0,26766.63,D
84,123,2021-06-15,GoFundMe,Expense,Personal,Gifts & Donations,146.46,0,26620.17,D
90,123,2021-06-15,PetSmart,Expense,Household,Pets,481.31,0,26138.86,D
92,123,2021-06-15,Stock Purchase,Income,Income,Investments,748.34,0,25390.52,D
99,123,2021-06-15,Uniqlo,Expense,Personal,Clothing & Accessories,277.04,0,25113.48,D
105,123,2021-06-15,Charity Organization,Expense,Personal,Gifts & Donations,114.49,0,24998.99,D
88,123,2021-06-18,Tobacco Store,Expense,Leisure & Lifestyle,Tobacco & Vaping,207.76,0,24791.23,D
91,123,2021-06-18,GoFundMe,Expense,Personal,Gifts & Donations,439.46,0,24351.77,D
95,123,2021-06-18,H&M,Expense,Personal,Clothing & Accessories,145.47,0,24206.3,D
98,123,2021-06-19,TransLink,Expense,Transport,Public Transport,336.07,0,23870.23,D
83,123,2021-06-23,Art Supply Store,Expense,Leisure & Lifestyle,Hobbies,236.84,0,23633.39,D
100,123,2021-06-24,Airbnb,Expense,Leisure & Lifestyle,Holidays & Travel,383.67,0,23249.72,D
94,123,2021-06-25,Bicycle Network,Expense,Transport,Cycling,38.68,0,23211.04,D
102,123,2021-06-27,Vape Shop,Expense,Leisure & Lifestyle,Tobacco & Vaping,365.12,0,22845.92,D
93,123,2021-06-29,Landlord,Expense,Household,Rent & Mortgage,281.68,0,22564.24,D
106,123,2021-07-01,Salary,Income,Income,Wages,0,8000,30564.24,C
116,123,2021-07-11,Expedia,Expense,Leisure & Lifestyle,Holidays & Travel,403.54,0,30160.7,D
109,123,2021-07-13,Ola,Expense,Transport,Taxies & Share Cars,41.28,0,30119.42,D
113,123,2021-07-13,Caltex,Expense,Transport,Fuel,462.39,0,29657.03,D
108,123,2021-07-14,Ticketek,Expense,Leisure & Lifestyle,Events & Gigs,31.99,0,29625.04,D
111,123,2021-07-15,MAC Cosmetics,Expense,Personal,Hair & Beauty,248.93,0,29376.11,D
112,123,2021-07-16,Shell,Expense,Transport,Fuel,366.73,0,29009.38,D
114,123,2021-07-17,Caltex,Expense,Transport,Fuel,397.98,0,28611.4,D
115,123,2021-07-18,Tatts,Expense,Leisure & Lifestyle,Lottery & Gambling,276.28,0,28335.12,D
110,123,2021-07-19,Optus,Expense,Household,Internet,179.5,0,28155.62,D
107,123,2021-07-27,AGL,Expense,Household,Utilities,470.94,0,27684.68,D
117,123,2021-08-01,Salary,Income,Income,Wages,0,8000,35684.68,C
119,123,2021-08-02,IKEA,Expense,Household,Maintenance & Improvements,119.56,0,35565.12,D
125,123,2021-08-03,Deliveroo,Expense,Leisure & Lifestyle,Takeaway,402.57,0,35162.55,D
133,123,2021-08-05,Adelaide Metro,Expense,Transport,Public Transport,420.75,0,34741.8,D
123,123,2021-08-06,Car Loan Provider,Expense,Transport,Car Repayments,401.64,0,34340.16,D
127,123,2021-08-06,7-Eleven,Expense,Transport,Fuel,89.13,0,34251.03,D
129,123,2021-08-06,Sydney Water,Expense,Household,Utilities,141.76,0,34109.27,D
126,123,2021-08-07,Art Supply Store,Expense,Leisure & Lifestyle,Hobbies,148.96,0,33960.31,D
130,123,2021-08-08,Ticketmaster,Expense,Leisure & Lifestyle,Events & Gigs,161.91,0,33798.4,D
140,123,2021-08-08,BP,Expense,Transport,Fuel,149.32,0,33649.08,D
134,123,2021-08-09,Wilson Parking,Expense,Transport,Parking,241.13,0,33407.95,D
136,123,2021-08-09,Childcare Center,Expense,Personal,Children & Family,232.03,0,33175.92,D
118,123,2021-08-11,PetSmart,Expense,Household,Pets,223.92,0,32952.0,D
132,123,2021-08-12,Rooftop Bar,Expense,Leisure & Lifestyle,Pubs & Bars,174.15,0,32777.85,D
120,123,2021-08-13,Bunnings Warehouse,Expense,Household,Maintenance & Improvements,390.94,0,32386.91,D
139,123,2021-08-14,Steam,Expense,Leisure & Lifestyle,"Apps, Games & Software",461.96,0,31924.95,D
138,123,2021-08-15,Birthday Gift,Expense,Personal,Gifts & Donations,187.68,0,31737.27,D
131,123,2021-08-19,Shell,Expense,Transport,Fuel,383.57,0,31353.7,D
135,123,2021-08-19,Suncorp,Expense,Transport,"Car Insurance, Rego & Maintenance",383.79,0,30969.91,D
122,123,2021-08-20,Bike Shop,Expense,Transport,Cycling,22.03,0,30947.88,D
124,123,2021-08-22,Linkt,Expense,Transport,Tolls,79.04,0,30868.84,D
128,123,2021-08-24,Airbnb,Expense,Leisure & Lifestyle,Holidays & Travel,356.93,0,30511.91,D
121,123,2021-08-26,Woolworths,Expense,Household,Groceries,364.62,0,30147.29,D
137,123,2021-08-28,Spotify,Expense,Leisure & Lifestyle,"Tv, Music & Streaming",50.95,0,30096.34,D
141,123,2021-09-01,Salary,Income,Income,Wages,0,8000,38096.34,C
146,123,2021-09-05,iiNet,Expense,Household,Internet,478.98,0,37617.36,D
142,123,2021-09-10,Aldi,Expense,Household,Groceries,211.55,0,37405.81,D
143,123,2021-09-13,Music Store,Expense,Leisure & Lifestyle,Hobbies,37.34,0,37368.47,D
145,123,2021-09-14,Optus,Expense,Household,Internet,384.08,0,36984.39,D
149,123,2021-09-14,Yoga Studio,Expense,Personal,Fitness & Wellbeing,83.76,0,36900.63,D
150,123,2021-09-16,Linkt,Expense,Transport,Tolls,77.45,0,36823.18,D
147,123,2021-09-20,Adelaide Metro,Expense,Transport,Public Transport,423.14,0,36400.04,D
148,123,2021-09-23,iiNet,Expense,Household,Internet,402.37,0,35997.67,D
144,123,2021-09-24,Opal Card,Expense,Transport,Public Transport,381.15,0,35616.52,D
151,123,2021-09-28,Adelaide Metro,Expense,Transport,Public Transport,124.02,0,35492.5,D
152,123,2021-10-01,Salary,Income,Income,Wages,0,8000,43492.5,C
163,123,2021-10-02,EastLink,Expense,Transport,Tolls,406.39,0,43086.11,D
166,123,2021-10-02,Car Loan Provider,Expense,Transport,Car Repayments,20.21,0,43065.9,D
156,123,2021-10-04,Stock Purchase,Expense,Personal,Investments,546.7,0,42519.2,D
164,123,2021-10-04,Spotify,Expense,Leisure & Lifestyle,"Tv, Music & Streaming",179.68,0,42339.52,D
159,123,2021-10-06,NIB,Expense,Personal,Health & Medical,174.38,0,42165.14,D
165,123,2021-10-09,13cabs,Expense,Transport,Taxies & Share Cars,483.1,0,41682.04,D
169,123,2021-10-09,Vape Shop,Expense,Leisure & Lifestyle,Tobacco & Vaping,346.28,0,41335.76,D
153,123,2021-10-11,Stock Purchase,Expense,Personal,Investments,716.41,0,40619.35,D
167,123,2021-10-11,Vodafone,Expense,Household,Internet,107.83,0,40511.52,D
160,123,2021-10-13,Stock Purchase,Expense,Personal,Investments,846.57,0,39664.95,D
170,123,2021-10-16,Sports Equipment Store,Expense,Leisure & Lifestyle,Hobbies,193.73,0,39471.22,D
168,123,2021-10-18,Ticketek,Expense,Leisure & Lifestyle,Events & Gigs,290.61,0,39180.61,D
157,123,2021-10-19,Vodafone,Expense,Household,Internet,33.98,0,39146.63,D
161,123,2021-10-20,Uniqlo,Expense,Personal,Clothing & Accessories,209.46,0,38937.17,D
162,123,2021-10-20,Sydney Water,Expense,Household,Utilities,390.6,0,38546.57,D
158,123,2021-10-21,NIB,Expense,Personal,Health & Medical,114.65,0,38431.92,D
155,123,2021-10-28,Netflix,Expense,Leisure & Lifestyle,"Tv, Music & Streaming",24.46,0,38407.46,D
154,123,2021-10-29,Cigars,Expense,Leisure & Lifestyle,Tobacco & Vaping,261.51,0,38145.95,D
171,123,2021-11-01,Salary,Income,Income,Wages,0,8000,46145.95,C
189,123,2021-11-03,University,Expense,Personal,Education,226.85,0,45919.1,D
193,123,2021-11-03,City of Melbourne,Expense,Transport,Parking,477.72,0,45441.38,D
188,123,2021-11-09,Bupa,Expense,Personal,Health & Medical,351.76,0,45089.62,D
175,123,2021-11-11,Toyota Finance,Expense,Transport,Car Repayments,167.92,0,44921.7,D
180,123,2021-11-12,Childcare Center,Expense,Personal,Children & Family,493.84,0,44427.86,D
195,123,2021-11-12,Telstra,Expense,Household,Internet,493.94,0,43933.92,D
179,123,2021-11-13,iiNet,Expense,Household,Internet,421.46,0,43512.46,D
182,123,2021-11-13,Car Dealership,Expense,Transport,Car Repayments,60.56,0,43451.9,D
177,123,2021-11-14,BP,Expense,Transport,Fuel,231.83,0,43220.07,D
187,123,2021-11-14,TransLink,Expense,Transport,Public Transport,213.73,0,43006.34,D
186,123,2021-11-15,Secure Parking,Expense,Transport,Parking,141.56,0,42864.78,D
184,123,2021-11-16,Post Office,Expense,Personal,Life Admin,227.58,0,42637.2,D
197,123,2021-11-16,Spotify,Expense,Leisure & Lifestyle,"Tv, Music & Streaming",242.0,0,42395.2,D
196,123,2021-11-17,TAB,Expense,Leisure & Lifestyle,Lottery & Gambling,349.29,0,42045.91,D
178,123,2021-11-18,Optus,Expense,Personal,Mobile Phone,111.91,0,41934.0,D
181,123,2021-11-18,MAC Cosmetics,Expense,Personal,Hair & Beauty,73.18,0,41860.82,D
190,123,2021-11-18,Apple Music,Expense,Leisure & Lifestyle,"Tv, Music & Streaming",394.01,0,41466.81,D
173,123,2021-11-19,Online Course Provider,Expense,Personal,Education,448.27,0,41018.54,D
172,123,2021-11-20,Suncorp,Expense,Household,Rates & Insurance,212.4,0,40806.14,D
174,123,2021-11-21,7-Eleven,Expense,Transport,Fuel,43.33,0,40762.81,D
183,123,2021-11-22,Mortgage Lender,Expense,Household,Rent & Mortgage,403.94,0,40358.87,D
192,123,2021-11-22,Sportsbet,Expense,Leisure & Lifestyle,Lottery & Gambling,174.28,0,40184.59,D
198,123,2021-11-22,Moshtix,Expense,Leisure & Lifestyle,Events & Gigs,200.66,0,39983.93,D
176,123,2021-11-23,Ticketmaster,Expense,Leisure & Lifestyle,Events & Gigs,84.15,0,39899.78,D
199,123,2021-11-23,IKEA,Expense,Household,Maintenance & Improvements,481.84,0,39417.94,D
191,123,2021-11-25,iiNet,Expense,Household,Internet,389.16,0,39028.78,D
194,123,2021-11-28,Hobby Store,Expense,Leisure & Lifestyle,Hobbies,305.89,0,38722.89,D
185,123,2021-11-29,Medibank,Expense,Personal,Health & Medical,374.92,0,38347.97,D
200,123,2021-12-01,Salary,Income,Income,Wages,0,8000,46347.97,C
206,123,2021-12-03,First Choice Liquor,Expense,Leisure & Lifestyle,Alcohol,400.07,0,45947.9,D
203,123,2021-12-12,Rooftop Bar,Expense,Leisure & Lifestyle,Pubs & Bars,47.67,0,45900.23,D
211,123,2021-12-14,Cotton On,Expense,Personal,Clothing & Accessories,207.16,0,45693.07,D
202,123,2021-12-16,Cigarettes,Expense,Leisure & Lifestyle,Tobacco & Vaping,217.74,0,45475.33,D
207,123,2021-12-18,Apple App Store,Expense,Leisure & Lifestyle,"Apps, Games & Software",474.56,0,45000.77,D
210,123,2021-12-21,Subway,Expense,Leisure & Lifestyle,Restaurants & Cafes,159.11,0,44841.66,D
205,123,2021-12-24,Lawyer,Expense,Personal,Life Admin,341.66,0,44500.0,D
204,123,2021-12-25,Stock Purchase,Income,Income,Investments,792.37,0,43707.63,D
201,123,2021-12-28,Stock Purchase,Expense,Personal,Investments,913.33,0,42794.3,D
208,123,2021-12-28,Uber,Expense,Transport,Taxies & Share Cars,69.32,0,42724.98,D
209,123,2021-12-28,Priceline Pharmacy,Expense,Personal,Health & Medical,480.17,0,42244.81,D
212,123,2022-01-01,Salary,Income,Income,Wages,0,8000,50244.81,C
217,123,2022-01-02,Ticketmaster,Expense,Leisure & Lifestyle,Events & Gigs,436.08,0,49808.73,D
229,123,2022-01-02,H&M,Expense,Personal,Clothing & Accessories,419.42,0,49389.31,D
227,123,2022-01-04,Allianz,Expense,Household,Rates & Insurance,360.34,0,49028.97,D
230,123,2022-01-04,PayPal,Transfer,Transfer,Transfer,211.75,0,48817.22,D
219,123,2022-01-05,GoFundMe,Expense,Personal,Gifts & Donations,298.95,0,48518.27,D
224,123,2022-01-06,Accountant,Expense,Personal,Life Admin,238.19,0,48280.08,D
232,123,2022-01-07,Expedia,Expense,Leisure & Lifestyle,Holidays & Travel,261.97,0,48018.11,D
215,123,2022-01-08,Stan,Expense,Leisure & Lifestyle,"Tv, Music & Streaming",14.08,0,48004.03,D
213,123,2022-01-10,Tutoring Service,Expense,Personal,Education,186.35,0,47817.68,D
225,123,2022-01-10,Sydney Water,Expense,Household,Utilities,331.43,0,47486.25,D
226,123,2022-01-10,Eventbrite,Expense,Leisure & Lifestyle,Events & Gigs,43.32,0,47442.93,D
228,123,2022-01-10,Printing Service,Expense,Personal,Life Admin,336.8,0,47106.13,D
221,123,2022-01-11,Costco,Expense,Household,Groceries,223.22,0,46882.91,D
216,123,2022-01-14,MAC Cosmetics,Expense,Personal,Hair & Beauty,485.44,0,46397.47,D
233,123,2022-01-14,Vodafone,Expense,Household,Internet,100.71,0,46296.76,D
222,123,2022-01-15,Charity Organization,Expense,Personal,Gifts & Donations,482.57,0,45814.19,D
223,123,2022-01-15,DiDi,Expense,Transport,Taxies & Share Cars,230.03,0,45584.16,D
220,123,2022-01-20,Stan,Expense,Leisure & Lifestyle,"Tv, Music & Streaming",266.87,0,45317.29,D
218,123,2022-01-22,The Lott,Expense,Leisure & Lifestyle,Lottery & Gambling,398.92,0,44918.37,D
231,123,2022-01-24,Online Course Provider,Expense,Personal,Education,243.42,0,44674.95,D
214,123,2022-01-26,Menulog,Expense,Leisure & Lifestyle,Takeaway,21.11,0,44653.84,D
234,123,2022-01-27,UberEats,Expense,Leisure & Lifestyle,Takeaway,11.99,0,44641.85,D
235,123,2022-02-01,Salary,Income,Income,Wages,0,8000,52641.85,C
243,123,2022-02-02,13cabs,Expense,Transport,Taxies & Share Cars,391.15,0,52250.7,D
237,123,2022-02-03,Tutoring Service,Expense,Personal,Education,336.48,0,51914.22,D
245,123,2022-02-03,Real Estate Agency,Expense,Household,Rent & Mortgage,53.8,0,51860.42,D
248,123,2022-02-04,Fitness First,Expense,Personal,Fitness & Wellbeing,96.41,0,51764.01,D
246,123,2022-02-06,Mortgage Lender,Expense,Household,Rent & Mortgage,312.43,0,51451.58,D
255,123,2022-02-09,Sports Equipment Store,Expense,Leisure & Lifestyle,Hobbies,38.05,0,51413.53,D
253,123,2022-02-10,DoorDash,Expense,Leisure & Lifestyle,Takeaway,477.0,0,50936.53,D
236,123,2022-02-11,TransLink,Expense,Transport,Public Transport,359.65,0,50576.88,D
238,123,2022-02-14,Birthday Gift,Expense,Personal,Gifts & Donations,337.71,0,50239.17,D
256,123,2022-02-16,BP,Expense,Transport,Fuel,483.71,0,49755.46,D
252,123,2022-02-17,Hobby Store,Expense,Leisure & Lifestyle,Hobbies,13.37,0,49742.09,D
254,123,2022-02-18,Lawyer,Expense,Personal,Life Admin,159.29,0,49582.8,D
241,123,2022-02-19,Cycling Apparel Store,Expense,Transport,Cycling,82.65,0,49500.15,D
249,123,2022-02-19,TransLink,Expense,Transport,Public Transport,76.16,0,49423.99,D
251,123,2022-02-19,Vodafone,Expense,Personal,Mobile Phone,138.17,0,49285.82,D
250,123,2022-02-20,Bank Transfer,Transfer,Transfer,Transfer,154.23,0,49131.59,D
247,123,2022-02-21,Venmo,Transfer,Transfer,Transfer,340.59,0,48791.0,D
239,123,2022-02-22,RACV,Expense,Transport,"Car Insurance, Rego & Maintenance",477.53,0,48313.47,D
242,123,2022-02-27,Deliveroo,Expense,Leisure & Lifestyle,Takeaway,349.76,0,47963.71,D
244,123,2022-02-27,AGL,Expense,Household,Utilities,381.08,0,47582.63,D
240,123,2022-03-01,Eventbrite,Expense,Leisure & Lifestyle,Events & Gigs,65.52,0,47517.11,D
257,123,2022-03-01,Salary,Income,Income,Wages,0,8000,55517.11,C
266,123,2022-03-04,Eventbrite,Expense,Leisure & Lifestyle,Events & Gigs,81.26,0,55435.85,D
261,123,2022-03-08,Mecca,Expense,Personal,Hair & Beauty,244.17,0,55191.68,D
263,123,2022-03-09,Sephora,Expense,Personal,Hair & Beauty,80.45,0,55111.23,D
260,123,2022-03-10,Hair Salon,Expense,Personal,Hair & Beauty,389.1,0,54722.13,D
272,123,2022-03-10,Uniqlo,Expense,Personal,Clothing & Accessories,345.96,0,54376.17,D
273,123,2022-03-11,Mecca,Expense,Personal,Hair & Beauty,124.85,0,54251.32,D
265,123,2022-03-12,BP,Expense,Transport,Fuel,120.04,0,54131.28,D
259,123,2022-03-13,CityLink,Expense,Transport,Tolls,361.68,0,53769.6,D
264,123,2022-03-13,Deliveroo,Expense,Leisure & Lifestyle,Takeaway,180.1,0,53589.5,D
267,123,2022-03-14,Amaysim,Expense,Personal,Mobile Phone,112.36,0,53477.14,D
269,123,2022-03-15,Woolworths,Expense,Household,Groceries,325.69,0,53151.45,D
270,123,2022-03-17,Birthday Gift,Expense,Personal,Gifts & Donations,495.9,0,52655.55,D
271,123,2022-03-21,13cabs,Expense,Transport,Taxies & Share Cars,254.42,0,52401.13,D
258,123,2022-03-28,Bank Transfer,Transfer,Transfer,Transfer,170.05,0,52231.08,D
262,123,2022-03-29,Charity Organization,Expense,Personal,Gifts & Donations,181.96,0,52049.12,D
268,123,2022-03-29,Zara,Expense,Personal,Clothing & Accessories,365.89,0,51683.23,D
274,123,2022-04-01,Salary,Income,Income,Wages,0,8000,59683.23,C
280,123,2022-04-08,PayPal,Transfer,Transfer,Transfer,243.0,0,59440.23,D
276,123,2022-04-12,Gym Membership,Expense,Personal,Fitness & Wellbeing,133.2,0,59307.03,D
282,123,2022-04-12,Lawyer,Expense,Personal,Life Admin,201.72,0,59105.31,D
275,123,2022-04-13,Priceline Pharmacy,Expense,Personal,Health & Medical,326.58,0,58778.73,D
284,123,2022-04-15,Bicycle Network,Expense,Transport,Cycling,479.29,0,58299.44,D
278,123,2022-04-19,Allianz,Expense,Transport,"Car Insurance, Rego & Maintenance",400.85,0,57898.59,D
281,123,2022-04-21,Telstra,Expense,Household,Internet,468.0,0,57430.59,D
277,123,2022-04-23,Art Supply Store,Expense,Leisure & Lifestyle,Hobbies,68.95,0,57361.64,D
279,123,2022-04-26,Aldi,Expense,Household,Groceries,467.71,0,56893.93,D
283,123,2022-04-28,Anytime Fitness,Expense,Personal,Fitness & Wellbeing,157.44,0,56736.49,D
285,123,2022-05-01,Salary,Income,Income,Wages,0,8000,64736.49,C
287,123,2022-05-05,Online Course Provider,Expense,Personal,Education,380.61,0,64355.88,D
294,123,2022-05-05,Toyota Finance,Expense,Transport,Car Repayments,294.57,0,64061.31,D
296,123,2022-05-06,Dan Murphy's,Expense,Leisure & Lifestyle,Alcohol,172.81,0,63888.5,D
301,123,2022-05-06,Allianz,Expense,Household,Rates & Insurance,288.87,0,63599.63,D
311,123,2022-05-06,Qantas,Expense,Leisure & Lifestyle,Holidays & Travel,119.55,0,63480.08,D
303,123,2022-05-07,Stock Purchase,Income,Income,Investments,460.5,0,63019.58,D
307,123,2022-05-07,QBE,Expense,Household,Rates & Insurance,194.02,0,62825.56,D
