Date,Transaction Description,Debit,Credit,Balance,Category 1,Category 2,Category 3,DR/CR
2020-02-15,Hobart Brewing Company ,189,0,2007,Expense,Leisure & Lifestyle,Pubs & Bars,DR
2020-02-16,YMCA ,125,0,1882,Expense,Personal,Fitness & Wellbeing,DR
2020-02-16,Country Road ,154,0,1728,Expense,Personal,Clothing & Accessories,DR
2020-02-18,Sunburn Swimwear ,39,0,1689,Expense,Personal,Clothing & Accessories,DR
2020-02-19,Endota Spa ,67,0,1622,Expense,Personal,Fitness & Wellbeing,DR
2020-02-19,Physiotherapy Clinic ,116,0,1506,Expense,Personal,Health & Medical,DR
2020-02-21,Flight Centre ,70,0,1436,Expense,Leisure & Lifestyle,Holidays & Travel,DR
2020-02-22,Lorna Jane ,121,0,1315,Expense,Personal,Clothing & Accessories,DR
2020-02-23,Taronga Zoo ,117,0,1198,Expense,Leisure & Lifestyle,Entertainment,DR
2020-02-23,OfficeMax ,40,0,1158,Expense,Personal,Life Admin,DR
2020-02-23, Ray White Real Estate ,109,0,1049,Expense,Personal,Life Admin,DR
2020-02-23,Adairs ,13,0,1036,Expense,Household,"Furniture, Electronics & Homewares",DR
2020-02-24,Who Gives A Crap ,45,0,991,Expense,Household,Groceries,DR
2020-02-25,Sunnybank Hotel ,50,0,941,Expense,Leisure & Lifestyle,Pubs & Bars,DR
2020-02-25,Village Cinemas ,94,0,847,Expense,Leisure & Lifestyle,Entertainment,DR
2020-02-26,Stand Up Paddleboard Rental ,24,0,823,Expense,Personal,Fitness & Wellbeing,DR
2020-02-26,Swim Australia ,48,0,775,Expense,Personal,Fitness & Wellbeing,DR
2020-02-27,Guardian Childcare & Education ,25,0,750,Expense,Personal,Children & Family,DR
2020-02-28,CommSec Share Trading Gains ,43,0,707,Income,Income,Investments,DR
2020-03-01,Monthly Income,0,6000,6707,Income,Income,Wages,CR
2020-03-02,Priceline Pharmacy ,568,0,6139,Expense,Personal,Health & Medical,DR
2020-03-02,Zarraffa's Coffee ,359,0,5780,Expense,Leisure & Lifestyle,Restaurants & Cafes,DR
2020-03-02,Booktopia ,102,0,5678,Expense,Leisure & Lifestyle,Hobbies,DR
2020-03-02,JB HiFi,129,0,5549,Expense,Leisure & Lifestyle,Electronics,DR
2020-03-03,Beachside Caravan Park ,76,0,5473,Expense,Leisure & Lifestyle,Holidays & Travel,DR
2020-03-05,Gold's Gym ,41,0,5432,Expense,Personal,Fitness & Wellbeing,DR
2020-03-07,Gardening Australia ,271,0,5161,Expense,Household,Maintenance & Improvements,DR
2020-03-08,QBE Insurance Claim Payout ,438,0,4723,Income,Income,Other Income,DR
2020-03-09,Uber ,59,0,4664,Expense,Transport,Taxies & Share Cars,DR
2020-03-10,Aqua Fun Park ,331,0,4333,Expense,Leisure & Lifestyle,Holidays & Travel,DR
2020-03-11,The Rocks Bar and Pub ,355,0,3978,Expense,Leisure & Lifestyle,Pubs & Bars,DR
2020-03-12,Lorna Jane ,261,0,3717,Expense,Personal,Clothing & Accessories,DR
2020-03-12,Medicare Claim ,138,0,3579,Expense,Personal,Health & Medical,DR
2020-03-14,OfficeMax ,100,0,3479,Expense,Personal,Life Admin,DR
2020-03-14,Catholic Education Office ,24,0,3455,Expense,Personal,Education,DR
2020-03-17,Optometrist ,283,0,3172,Expense,Personal,Health & Medical,DR
2020-03-18,Caltex ,45,0,3127,Expense,Transport,Fuel,DR
2020-03-18,Sea Kayak Tours ,313,0,2814,Expense,Leisure & Lifestyle,Holidays & Travel,DR
2020-03-19, Commonwealth Bank ,154,0,2660,Expense,Household,Rent & Mortgage,DR
2020-03-21,Budget Direct Car Insurance ,133,0,2527,Expense,Transport,"Car Insurance, Rego & Maintenance",DR
2020-03-21,Telstra ,164,0,2363,Expense,Personal,Mobile Phone,DR
2020-03-21,Audible ,173,0,2190,Expense,Leisure & Lifestyle,"Tv, Music & Streaming",DR
2020-03-21,QBE Insurance Claim Payout ,8,0,2182,Income,Income,Other Income,DR
2020-03-21,Upwork Freelancer Payment ,183,0,1999,Income,Income,Other Income,DR
2020-03-22,Interest Payment from Commonwealth Bank ,195,0,1804,Income,Income,Investments,DR
2020-03-22,SEQTA ,161,0,1643,Expense,Personal,Education,DR
2020-03-23,JAX Tyres ,123,0,1520,Expense,Transport,"Car Insurance, Rego & Maintenance",DR
2020-03-23,Booktopia ,146,0,1374,Expense,Leisure & Lifestyle,Hobbies,DR
2020-03-24,Village Cinemas ,72,0,1302,Expense,Leisure & Lifestyle,Entertainment,DR
2020-03-25,South East Water ,95,0,1207,Expense,Household,Utilities,DR
2020-03-27,JAX Tyres ,105,0,1102,Expense,Transport,"Car Insurance, Rego & Maintenance",DR
2020-03-27,Local Hospital ,104,0,998,Expense,Personal,Health & Medical,DR
2020-04-01,Monthly Income,0,6000,6998,Income,Income,Wages,CR
2020-04-05,Health Food Store ,483,0,6515,Expense,Personal,Fitness & Wellbeing,DR
2020-04-05,Campion Education ,164,0,6351,Expense,Personal,Children & Family,DR
2020-04-07,Woolworths ,170,0,6181,Expense,Household,Groceries,DR
2020-04-08,Chiropractor ,46,0,6135,Expense,Personal,Health & Medical,DR
2020-04-08,Crown Perth ,558,0,5577,Expense,Leisure & Lifestyle,Pubs & Bars,DR
2020-04-10,Surfstitch ,499,0,5078,Expense,Personal,Clothing & Accessories,DR
2020-04-11,Adairs ,7,0,5071,Expense,Household,"Furniture, Electronics & Homewares",DR
2020-04-12,Bridgestone Select ,332,0,4739,Expense,Transport,"Car Insurance, Rego & Maintenance",DR
2020-04-13,Hobart Brewing Company ,24,0,4715,Expense,Leisure & Lifestyle,Pubs & Bars,DR
2020-04-13,Culture Kings ,323,0,4392,Expense,Personal,Clothing & Accessories,DR
2020-04-14,Foxtel ,20,0,4372,Expense,Leisure & Lifestyle,"Tv, Music & Streaming",DR
2020-04-14,Apple Music ,281,0,4091,Expense,Leisure & Lifestyle,"Tv, Music & Streaming",DR
2020-04-16,Palace Cinemas ,247,0,3844,Expense,Leisure & Lifestyle,Entertainment,DR
2020-04-16,Decathlon ,358,0,3486,Expense,Personal,Fitness & Wellbeing,DR
2020-04-17,King Swim ,329,0,3157,Expense,Personal,Fitness & Wellbeing,DR
2020-04-17,Sea Life Aquarium ,208,0,2949,Expense,Leisure & Lifestyle,Entertainment,DR
2020-04-19,The Espy ,64,0,2885,Expense,Leisure & Lifestyle,Pubs & Bars,DR
2020-04-20, Metricon ,30,0,2855,Expense,Household,Maintenance & Improvements,DR
2020-04-22,AGL Energy ,60,0,2795,Expense,Household,Utilities,DR
2020-04-22,Timezone ,143,0,2652,Expense,Leisure & Lifestyle,Entertainment,DR
2020-04-23,ATO Tax Refund ,73,0,2579,Income,Income,Other Income,DR
2020-04-24,The Espy ,103,0,2476,Expense,Leisure & Lifestyle,Pubs & Bars,DR
2020-04-25,Budget Direct Car Insurance ,55,0,2421,Expense,Transport,"Car Insurance, Rego & Maintenance",DR
2020-04-25,Surfstitch ,156,0,2265,Expense,Personal,Clothing & Accessories,DR
2020-04-25,MyCar Tyre & Auto ,212,0,2053,Expense,Transport,"Car Insurance, Rego & Maintenance",DR
2020-04-26,Scouts Australia ,173,0,1880,Expense,Leisure & Lifestyle,Hobbies,DR
2020-04-26, NSW Land Registry Services ,82,0,1798,Expense,Personal,Life Admin,DR
2020-05-01,Monthly Income,0,6000,7798,Income,Income,Wages,CR
2020-05-02,Sea Life Aquarium ,544,0,7254,Expense,Leisure & Lifestyle,Entertainment,DR
2020-05-02,Le Creuset ,631,0,6623,Expense,Household,"Furniture, Electronics & Homewares",DR
2020-05-03,Australian Veterinary Association ,349,0,6274,Expense,Household,Pets,DR
2020-05-03,Upwork Freelancer Payment ,271,0,6003,Income,Income,Other Income,DR
2020-05-03,NRMA Roadside Assistance ,476,0,5527,Expense,Transport,"Car Insurance, Rego & Maintenance",DR
2020-05-07,Boost Juice Bars ,372,0,5155,Expense,Leisure & Lifestyle,Takeaway,DR
2020-05-08,Sea Kayak Tours ,406,0,4749,Expense,Leisure & Lifestyle,Holidays & Travel,DR
2020-05-09,Netflix ,244,0,4505,Expense,Leisure & Lifestyle,"Tv, Music & Streaming",DR
2020-05-10,Autobarn ,75,0,4430,Expense,Transport,"Car Insurance, Rego & Maintenance",DR
2020-05-12,Guardian Childcare & Education ,48,0,4382,Expense,Personal,Children & Family,DR
2020-05-12,Repco ,361,0,4021,Expense,Transport,"Car Insurance, Rego & Maintenance",DR
2020-05-13,QBE Insurance Claim Payout ,122,0,3899,Income,Income,Other Income,DR
2020-05-14,Optus ,176,0,3723,Expense,Personal,Mobile Phone,DR
2020-05-14,BrewDog ,105,0,3618,Expense,Leisure & Lifestyle,Alcohol,DR
2020-05-15,Guzman y Gomez ,250,0,3368,Expense,Leisure & Lifestyle,Takeaway,DR
2020-05-15,Guzman y Gomez ,109,0,3259,Expense,Leisure & Lifestyle,Takeaway,DR
2020-05-16,Toys 'R' Us ,284,0,2975,Expense,Personal,CHildren & Family,DR
2020-05-16, Brisbane City Council ,32,0,2943,Expense,Household,Rates & Insurance,DR
2020-05-16,Airbnb Host Income ,286,0,2657,Income,Income,Other Income,DR
2020-05-16,Acupuncture Clinic ,235,0,2422,Expense,Personal,Health & Medical,DR
2020-05-18,Airbnb Host Income ,57,0,2365,Income,Income,Other Income,DR
2020-05-18,Campion Education ,185,0,2180,Expense,Personal,Children & Family,DR
2020-05-18,The Baxter Inn ,13,0,2167,Expense,Leisure & Lifestyle,Pubs & Bars,DR
2020-05-19,Flight Centre ,191,0,1976,Expense,Leisure & Lifestyle,Holidays & Travel,DR
2020-05-19, Brisbane City Council ,126,0,1850,Expense,Household,Rates & Insurance,DR
2020-05-21,David Jones ,78,0,1772,Expense,Personal,Clothing & Accessories,DR
2020-05-21, Meriton Apartments ,20,0,1752,Expense,Household,Rates & Insurance,DR
2020-05-22,Greencross Vets ,33,0,1719,Expense,Household,Pets,DR
2020-05-23,YMCA ,126,0,1593,Expense,Personal,Fitness & Wellbeing,DR
2020-05-23,Hobart Brewing Company ,44,0,1549,Expense,Leisure & Lifestyle,Pubs & Bars,DR
2020-05-23,Booktopia ,62,0,1487,Expense,Leisure & Lifestyle,Hobbies,DR
2020-05-24,ALDI ,115,0,1372,Expense,Household,Groceries,DR
2020-05-24,Microsoft 365 ,108,0,1264,Expense,Personal,Education,DR
2020-05-25,Optus ,67,0,1197,Expense,Personal,Mobile Phone,DR
2020-05-25,Decathlon ,6,0,1191,Expense,Personal,Fitness & Wellbeing,DR
2020-05-26,Lorna Jane ,90,0,1101,Expense,Personal,Clothing & Accessories,DR
2020-05-27,Health Food Store ,6,0,1095,Expense,Personal,Fitness & Wellbeing,DR
2020-05-27,Vodafone Prepaid ,34,0,1061,Expense,Personal,Mobile Phone,DR
2020-05-28,Uber ,32,0,1029,Expense,Transport,Taxies & Share Cars,DR
2020-05-28,ABC Reading Eggs ,65,0,964,Expense,Personal,Education,DR
2020-06-01,Monthly Income,0,6000,6964,Income,Income,Wages,CR
2020-06-02,ABC Reading Eggs ,166,0,6798,Expense,Personal,Education,DR
2020-06-04,Catholic Education Office ,359,0,6439,Expense,Personal,Education,DR
2020-06-04,Boost Juice Bars ,412,0,6027,Expense,Leisure & Lifestyle,Takeaway,DR
2020-06-04,Lorna Jane ,356,0,5671,Expense,Personal,Clothing & Accessories,DR
2020-06-05,YMCA ,524,0,5147,Expense,Personal,Fitness & Wellbeing,DR
2020-06-05,Beacon Lighting ,127,0,5020,Expense,Household,Maintenance & Improvements,DR
2020-06-05,AGL Energy ,281,0,4739,Expense,Household,Utilities,DR
2020-06-06, Rentokil ,401,0,4338,Expense,Household,Maintenance & Improvements,DR
2020-06-08,School Locker ,78,0,4260,Expense,Personal,Children & Family,DR
2020-06-08,Stand Up Paddleboard Rental ,300,0,3960,Expense,Personal,Fitness & Wellbeing,DR
2020-06-08,Tabcorp ,329,0,3631,Expense,Leisure & Lifestyle,Lottery & Gambling,DR
2020-06-08,ABC Reading Eggs ,18,0,3613,Expense,Personal,Education,DR
2020-06-09,Myer ,142,0,3471,Expense,Personal,Clothing & Accessories,DR
2020-06-09,Physiotherapy Clinic ,204,0,3267,Expense,Personal,Health & Medical,DR
2020-06-10,Beachside Caravan Park ,324,0,2943,Expense,Leisure & Lifestyle,Holidays & Travel,DR
2020-06-11,City Beach ,230,0,2713,Expense,Personal,Clothing & Accessories,DR
2020-06-12,National Hearing Care ,21,0,2692,Expense,Personal,Health & Medical,DR
2020-06-12,Pathology Lab ,30,0,2662,Expense,Personal,Health & Medical,DR
2020-06-13,CommSec Share Trading Gains ,126,0,2536,Income,Income,Investments,DR
2020-06-13,Café Nero ,213,0,2323,Expense,Leisure & Lifestyle,Restaurants & Cafes,DR
2020-06-13,Massage Therapy Center ,19,0,2304,Expense,Personal,Health & Medical,DR
2020-06-13,King Swim ,144,0,2160,Expense,Personal,Fitness & Wellbeing,DR
2020-06-13,Adobe Creative Cloud ,87,0,2073,Expense,Leisure & Lifestyle,Hobbies,DR
2020-06-13,The Australian ,38,0,2035,Expense,Personal,Education,DR
2020-06-14,Australian Veterinary Association ,140,0,1895,Expense,Household,Pets,DR
2020-06-15, Rentokil ,113,0,1782,Expense,Household,Maintenance & Improvements,DR
2020-06-15,Childcare Payments ,62,0,1720,Expense,Personal,Children & Family,DR
2020-06-15,Swim Australia ,116,0,1604,Expense,Personal,Fitness & Wellbeing,DR
2020-06-16,Costco ,37,0,1567,Expense,Household,Groceries,DR
2020-06-16,AGL Energy ,24,0,1543,Expense,Household,Utilities,DR
2020-06-16,Grill’d ,144,0,1399,Expense,Leisure & Lifestyle,Takeaway,DR
2020-06-16,Massage Therapy Center ,87,0,1312,Expense,Personal,Health & Medical,DR
2020-06-16,The Brisbane Hotel ,69,0,1243,Expense,Leisure & Lifestyle,Pubs & Bars,DR
2020-06-17,The Iconic ,28,0,1215,Expense,Personal,Clothing & Accessories,DR
2020-06-18,Booktopia ,17,0,1198,Expense,Leisure & Lifestyle,Hobbies,DR
2020-06-18,Costco ,11,0,1187,Expense,Household,Groceries,DR
2020-06-18,Interest Payment from Commonwealth Bank ,39,0,1148,Income,Income,Investments,DR
2020-06-19,Sydney Water ,88,0,1060,Expense,Household,Utilities,DR
2020-06-19,The Iconic ,85,0,975,Expense,Personal,Clothing & Accessories,DR
2020-06-19,Gardening Australia ,64,0,911,Expense,Household,Maintenance & Improvements,DR
2020-06-19,Event Cinemas ,28,0,883,Expense,Leisure & Lifestyle,Entertainment,DR
2020-06-20,QBE Insurance Claim Payout ,89,0,794,Income,Income,Other Income,DR
2020-06-20,Rebel Sport ,43,0,751,Expense,Personal,Fitness & Wellbeing,DR
2020-06-21,Gold's Gym ,9,0,742,Expense,Personal,Fitness & Wellbeing,DR
2020-06-21,Anytime Fitness ,51,0,691,Expense,Personal,Fitness & Wellbeing,DR
2020-06-22, NRMA Insurance ,34,0,657,Expense,Household,Rates & Insurance,DR
2020-06-23,Grill’d ,47,0,610,Expense,Leisure & Lifestyle,Takeaway,DR
2020-06-23,Jetts Fitness ,58,0,552,Expense,Personal,Fitness & Wellbeing,DR
2020-06-24,Interest Payment from Commonwealth Bank ,24,0,528,Income,Income,Investments,DR
2020-06-25,Rip Curl ,32,0,496,Expense,Personal,Clothing & Accessories,DR
2020-06-25,Spotify ,15,0,481,Expense,Leisure & Lifestyle,"Tv, Music & Streaming",DR
2020-06-26,Freedom Furniture ,46,0,435,Expense,Household,Maintenance & Improvements,DR
2020-06-27,Myer ,40,0,395,Expense,Personal,Clothing & Accessories,DR
2020-06-27,Interest Payment from Commonwealth Bank ,30,0,365,Income,Income,Investments,DR
2020-06-28,City Beach ,5,0,360,Expense,Personal,Clothing & Accessories,DR
2020-07-01,Monthly Income,0,6000,6360,Income,Income,Wages,CR
2020-07-02,TerryWhite Chemmart ,504,0,5856,Expense,Personal,Health & Medical,DR
2020-07-03,Disney+ ,452,0,5404,Expense,Leisure & Lifestyle,"Tv, Music & Streaming",DR
2020-07-03,G8 Education ,109,0,5295,Expense,Personal,Children & Family,DR
2020-07-04,Dan Murphy’s ,244,0,5051,Expense,Leisure & Lifestyle,Alcohol,DR
2020-07-04, Ray White Real Estate ,304,0,4747,Expense,Personal,Life Admin,DR
2020-07-05,Adobe Creative Cloud ,317,0,4430,Expense,Leisure & Lifestyle,Hobbies,DR
2020-07-06,Village Cinemas ,249,0,4181,Expense,Leisure & Lifestyle,Entertainment,DR
2020-07-08,Swim Australia ,142,0,4039,Expense,Personal,Fitness & Wellbeing,DR
2020-07-08,Coles ,123,0,3916,Expense,Household,Groceries,DR
2020-07-08,Vodafone Prepaid ,70,0,3846,Expense,Personal,Mobile Phone,DR
2020-07-09,Apple Store ,317,0,3529,Expense,Leisure & Lifestyle,Electronics,DR
2020-07-09,F45 Training ,310,0,3219,Expense,Personal,Fitness & Wellbeing,DR
2020-07-10, Rentokil ,144,0,3075,Expense,Household,Maintenance & Improvements,DR
2020-07-10, BSA Ltd ,43,0,3032,Expense,Household,Maintenance & Improvements,DR
2020-07-10,Ladbrokes ,279,0,2753,Expense,Leisure & Lifestyle,Lottery & Gambling,DR
2020-07-11,Adairs ,132,0,2621,Expense,Household,"Furniture, Electronics & Homewares",DR
2020-07-12,Dymocks ,57,0,2564,Expense,Leisure & Lifestyle,Hobbies,DR
2020-07-12, NRMA Insurance ,165,0,2399,Expense,Household,Rates & Insurance,DR
2020-07-13,King Swim ,124,0,2275,Expense,Personal,Fitness & Wellbeing,DR
2020-07-13, EnergyAustralia ,53,0,2222,Expense,Household,Utilities,DR
2020-07-13,Camp Australia ,56,0,2166,Expense,Leisure & Lifestyle,Hobbies,DR
2020-07-13,The Body Shop ,29,0,2137,Expense,Personal,Hair & Beauty,DR
2020-07-13,Westpac Dividend Deposit ,186,0,1951,Income,Income,Investments,DR
2020-07-14,Jetts Fitness ,72,0,1879,Expense,Personal,Fitness & Wellbeing,DR
2020-07-14,Village Cinemas ,19,0,1860,Expense,Leisure & Lifestyle,Entertainment,DR
2020-07-15,Kayo Sports ,91,0,1769,Expense,Leisure & Lifestyle,"Tv, Music & Streaming",DR
2020-07-15,EnergyAustralia ,65,0,1704,Expense,Household,Utilities,DR
2020-07-15,Guardian Childcare & Education ,70,0,1634,Expense,Personal,Children & Family,DR
2020-07-17,National Hearing Care ,98,0,1536,Expense,Personal,Health & Medical,DR
2020-07-21,Shell V Power,93,0,1443,Expense,Transport,Fuel,DR
2020-07-21,South East Water ,83,0,1360,Expense,Household,Utilities,DR
2020-07-21,Rip Curl ,95,0,1265,Expense,Personal,Clothing & Accessories,DR
2020-07-21,Shell V Power,96,0,1169,Expense,Transport,Fuel,DR
2020-07-22,Sea Kayak Tours ,37,0,1132,Expense,Leisure & Lifestyle,Holidays & Travel,DR
2020-07-22,National Hearing Care ,38,0,1094,Expense,Personal,Health & Medical,DR
2020-07-22,Anytime Fitness ,15,0,1079,Expense,Personal,Fitness & Wellbeing,DR
2020-07-23,Bulk Billing Doctor ,5,0,1074,Expense,Personal,Health & Medical,DR
2020-07-23,The Coffee Club ,14,0,1060,Expense,Leisure & Lifestyle,Restaurants & Cafes,DR
2020-07-24,F45 Training ,58,0,1002,Expense,Personal,Fitness & Wellbeing,DR
2020-07-24,Barbeques Galore ,68,0,934,Expense,Household,"Furniture, Electronics & Homewares",DR
2020-07-24,Australian Veterinary Association ,60,0,874,Expense,Household,Pets,DR
2020-07-26,The Coffee Club ,17,0,857,Expense,Leisure & Lifestyle,Restaurants & Cafes,DR
2020-07-26,Dan Murphy’s ,85,0,772,Expense,Leisure & Lifestyle,Alcohol,DR
2020-07-26,Childcare Payments ,70,0,702,Expense,Personal,Children & Family,DR
2020-07-26,Petbarn ,61,0,641,Expense,Household,Pets,DR
2020-07-26,KU Children's Services ,14,0,627,Expense,Personal,Children & Family,DR
2020-07-27, Rentokil ,18,0,609,Expense,Household,Maintenance & Improvements,DR
2020-07-27,Netflix ,24,0,585,Expense,Leisure & Lifestyle,"Tv, Music & Streaming",DR
2020-07-28,Ladbrokes ,46,0,539,Expense,Leisure & Lifestyle,Lottery & Gambling,DR
2020-08-01,Monthly Income,0,6000,6539,Income,Income,Wages,CR
2020-08-02,Hungry Jack’s ,86,0,6453,Expense,Leisure & Lifestyle,Takeaway,DR
2020-08-04,Liquorland ,10,0,6443,Expense,Leisure & Lifestyle,Alcohol,DR
2020-08-04,Physiotherapy Clinic ,49,0,6394,Expense,Personal,Health & Medical,DR
2020-08-05,T2 Tea ,470,0,5924,Expense,Personal,Fitness & Wellbeing,DR
2020-08-05,Optus ,375,0,5549,Expense,Personal,Mobile Phone,DR
2020-08-06,Uber ,16,0,5533,Expense,Transport,Taxies & Share Cars,DR
2020-08-07,Beachfront Markets ,149,0,5384,Expense,Personal,Clothing & Accessories,DR
2020-08-07,Crown Perth ,461,0,4923,Expense,Leisure & Lifestyle,Pubs & Bars,DR
2020-08-07,Shell V Power,160,0,4763,Expense,Transport,Fuel,DR
2020-08-08,Greencross Vets ,414,0,4349,Expense,Household,Pets,DR
2020-08-10,Grill'd ,434,0,3915,Expense,Leisure & Lifestyle,Takeaway,DR
2020-08-11,David Jones ,302,0,3613,Expense,Personal,Clothing & Accessories,DR
2020-08-13,Spotify ,113,0,3500,Expense,Leisure & Lifestyle,"Tv, Music & Streaming",DR
2020-08-15,Pizza Hut ,223,0,3277,Expense,Leisure & Lifestyle,Takeaway,DR
2020-08-16,Guzman y Gomez ,141,0,3136,Expense,Leisure & Lifestyle,Takeaway,DR
2020-08-20, The Good Guys ,208,0,2928,Expense,Household,"Furniture, Electronics & Homewares",DR
2020-08-21,The Baxter Inn ,170,0,2758,Expense,Leisure & Lifestyle,Pubs & Bars,DR
2020-08-21,Event Cinemas ,185,0,2573,Expense,Leisure & Lifestyle,Entertainment,DR
2020-08-21,Salary Deposit from Woolworths Group ,103,0,2470,Income,Income,Wages,DR
2020-08-22,The Baxter Inn ,34,0,2436,Expense,Leisure & Lifestyle,Pubs & Bars,DR
2020-08-23,AGL Energy ,196,0,2240,Expense,Household,Utilities,DR
2020-08-23,Café Nero ,207,0,2033,Expense,Leisure & Lifestyle,Restaurants & Cafes,DR
2020-08-23,ATO Tax Refund ,121,0,1912,Income,Income,Other Income,DR
2020-08-25,Beach Café ,52,0,1860,Expense,Leisure & Lifestyle,Restaurants & Cafes,DR
2020-08-26,Repco ,63,0,1797,Expense,Transport,"Car Insurance, Rego & Maintenance",DR
2020-08-27,VicRoads ,75,0,1722,Expense,Transport,"Car Insurance, Rego & Maintenance",DR
2020-08-27,Café Nero ,59,0,1663,Expense,Leisure & Lifestyle,Restaurants & Cafes,DR
2020-09-01,Monthly Income,0,6000,7663,Income,Income,Wages,CR
2020-09-02,The Baxter Inn ,496,0,7167,Expense,Leisure & Lifestyle,Pubs & Bars,DR
2020-09-02,Gardening Australia ,160,0,7007,Expense,Household,Maintenance & Improvements,DR
2020-09-03,The Athlete's Foot ,264,0,6743,Expense,Personal,Clothing & Accessories,DR
2020-09-03,Tabcorp ,564,0,6179,Expense,Leisure & Lifestyle,Lottery & Gambling,DR
