product_type,,,,,snapshot_date,available_credit,available_fum,transaction_id,,transaction_effective_date,transaction_amount,credit_debit_indicator,statement_description,high_level_transaction_purpose,mid_level_transaction_purpose,low_level_transaction_purpose,transaction_code,merchant_id,product_type_credit_card,snapshot_date_credit_card,statement_due_day,closing_balance,minimum_repayment_amount,previous_repayment_date,previous_repayment_amount
credit card,,,,,05-11-2023,131019.21,235424.25,13,,2/18/2024,8660.77,debit,adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede,diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices,orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu,condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit,759,1570,credit card,08-02-2023,17,374853.76,3807.04,4/22/2024,8096.36
transaction,,,,,12/20/2023,330824.52,997018.8,14,,11-06-2023,6542.72,debit,lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer,magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et,blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id,ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet,253,2229,credit card,10-08-2023,13,208738.27,6410.08,08-01-2023,177.28
offset,,,,,5/24/2023,652005.91,564764.71,15,,5/24/2023,2637.65,debit,eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim,vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum,eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat,duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec,202,6462,credit card,3/30/2024,9,236612.66,3988.54,11/17/2023,5745.81
transaction,,,,,1/25/2024,761362.03,515326.1,16,,8/30/2023,8436.15,debit,eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus,arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor eu pede,quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis,aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede,563,1357,credit card,09-01-2023,6,747131.28,655.26,12-10-2023,2836.18
home loan,,,,,01-04-2024,604676.25,605667.14,17,,06-02-2023,5481.43,credit,vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget,tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer,et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo,bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi,832,9942,credit card,02-07-2024,19,711069.18,5592.96,7/20/2023,2416.2
home loan,,,,,5/19/2023,810468.02,987303.55,18,,5/25/2023,9870.77,debit,id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci,morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus,proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue,nec dui luctus rutrum nulla tellus in sagittis dui vel,235,3953,credit card,04-07-2024,26,75184.53,8828.03,4/27/2024,1692.59
transaction,,,,,07-03-2023,462791.54,943005.94,19,,03-04-2024,2866.83,debit,sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at,arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci,enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam,maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat,133,8339,credit card,9/30/2023,8,281991.52,2505.04,01-03-2024,5282.33
home loan,,,,,4/25/2024,436519.66,8158.99,20,,6/15/2023,6379.99,debit,commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel,vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula,elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque,etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut,254,5264,credit card,10/30/2023,12,426175.29,1570.49,9/25/2023,2136
credit card,,,,,2/26/2024,714778.07,400080.85,21,,07-04-2023,233.82,debit,non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta,sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas,montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis,ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam,734,1533,credit card,10/21/2023,9,8312.96,6136.97,12/21/2023,1371.1
transaction,,,,,11-08-2023,483576.52,731828.91,22,,01-05-2024,7570.91,debit,quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis,vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci,justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam,quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in,723,4792,credit card,2/28/2024,25,729598,9694.91,3/25/2024,6406.76
credit card,,,,,07-07-2023,860140.54,673431.52,23,,12/31/2023,1078.57,debit,in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis,mauris non ligula pellentesque ultrices phasellus id sapien in sapien,posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem,interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus,325,1512,credit card,3/20/2024,18,196068.16,4295.75,12-12-2023,7059.45
savings,,,,,6/13/2023,572152.99,543443.83,24,,2/25/2024,50.12,debit,morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique,dui vel nisl duis ac nibh fusce lacus purus aliquet at,lacinia aenean sit amet justo morbi ut odio cras mi,tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum,140,7809,credit card,02-03-2024,22,932823.63,369.78,1/25/2024,2585.07
transaction,,,,,5/24/2023,763623.21,557124.72,25,,1/16/2024,9868.07,debit,nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed,interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec,lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum,suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae,386,4758,credit card,8/29/2023,9,143386.8,8941.89,8/13/2023,2866.25
transaction,,,,,08-11-2023,478892.43,458640.83,26,,9/24/2023,7562.17,debit,lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc,vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla,morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id,donec vitae nisi nam ultrices libero non mattis pulvinar nulla,580,1637,credit card,2/14/2024,30,935288.94,3340.86,01-07-2024,4023.2
savings,,,,,10-07-2023,354255.19,226538.7,27,,12-08-2023,6571.79,debit,ut erat id mauris vulputate elementum nullam varius nulla facilisi cras,maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque,odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in,justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut,625,8051,credit card,3/19/2024,14,112177.63,6010.94,12/19/2023,2515.77
offset,,,,,1/13/2024,294517.65,214512.87,28,,01-08-2024,5140.46,debit,condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum,pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus,mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis,in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin,191,8126,credit card,3/21/2024,16,970245.7,5466.04,9/30/2023,6821.27
home loan,,,,,4/25/2024,593808.16,311627,29,,2/19/2024,8932.66,debit,eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget,maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat,dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed,sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus,579,6908,credit card,10-02-2023,7,244257.19,9584.36,10/31/2023,6779.78
credit card,,,,,12/31/2023,124786.55,32692.59,30,,02-03-2024,5211.16,debit,in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit,nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie,erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst,justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et,376,9531,credit card,1/16/2024,7,274267.5,9984.04,5/19/2023,4683.04
personal loan,,,,,04-05-2024,758009.17,370098.39,31,,11/24/2023,3345.25,debit,risus semper porta volutpat quam pede lobortis ligula sit amet,viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat,mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis,eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia,873,1248,credit card,10-11-2023,27,319936.23,4477.94,1/28/2024,861.02
savings,,,,,1/17/2024,270155.27,460273.15,32,,9/28/2023,7769.5,credit,felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed,diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in,et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet,justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam,172,6644,credit card,10/22/2023,31,430270.5,4621.38,11/18/2023,9999.25
transaction,,,,,1/23/2024,345612.22,250855.98,33,,6/25/2023,435.71,debit,tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet,tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum,pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem,eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus,248,2603,credit card,8/31/2023,21,538760.33,5759.29,4/20/2024,6491.64
transaction,,,,,08-04-2023,648991.28,652147.36,34,,9/13/2023,8527.72,credit,rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus,vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum,primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices,integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus,435,6600,credit card,07-11-2023,1,861037.74,9567.82,11/18/2023,4296.57
home loan,,,,,01-04-2024,691237.61,317811.52,35,,10/21/2023,342.9,debit,curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut,orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi,pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus,ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu,348,3853,credit card,05-08-2023,19,414734.37,3593.98,5/26/2023,1454.37
credit card,,,,,01-05-2024,375738.14,243276.37,36,,3/23/2024,1814.19,credit,morbi a ipsum integer a nibh in quis justo maecenas rhoncus,convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit,faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec,facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget,165,1756,credit card,4/29/2023,20,993267.4,7889.52,08-04-2023,1210.27
transaction,,,,,10/15/2023,312953.57,283054.96,37,,5/21/2023,9137.32,credit,adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at,fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in,faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus,eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec,633,8307,credit card,06-07-2023,8,293740.8,1331.69,10-11-2023,5803.28
credit card,,,,,3/30/2024,190044.9,285756.31,38,,02-11-2024,4980.25,credit,ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla,tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed,fusce lacus purus aliquet at feugiat non pretium quis lectus,ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent,419,4890,credit card,7/23/2023,7,960038.76,1913.49,12/16/2023,9714.61
transaction,,,,,10-03-2023,927508.56,161590.88,39,,6/16/2023,4577.44,debit,pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non,duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget,cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus,curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus,340,4392,credit card,08-11-2023,24,316042.34,5842.17,12-06-2023,4756.38
personal loan,,,,,2/14/2024,943292.08,621076.41,40,,07-02-2023,5666.71,credit,est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat,habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante,imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam,suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc,261,7295,credit card,10-11-2023,2,671777.81,8257.87,8/18/2023,4529.47
savings,,,,,07-01-2023,721413.03,628592.82,41,,07-10-2023,6965.8,credit,non pretium quis lectus suspendisse potenti in eleifend quam a odio,eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus,volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla,mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet,719,4114,credit card,8/19/2023,22,622575.61,7831.42,08-08-2023,3646.19
offset,,,,,12/24/2023,130546.23,145976.92,42,,11/22/2023,5945.41,debit,amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non,lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in,vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede,pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede,968,1885,credit card,12/18/2023,5,7961.81,2281.17,12/17/2023,4300.82
personal loan,,,,,4/29/2023,742984.9,646142.19,43,,3/23/2024,1509.57,credit,nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet,ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac,etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non,malesuada in imperdiet et commodo vulputate justo in blandit ultrices,733,8814,credit card,7/26/2023,16,787864.4,4004.08,6/21/2023,3276.83
savings,,,,,4/24/2024,355864.63,667164.89,44,,7/17/2023,1793.81,credit,turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede,ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit,est phasellus sit amet erat nulla tempus vivamus in felis eu,in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed,967,3780,credit card,12/28/2023,5,971328.62,7348.17,10/21/2023,7797.49
offset,,,,,1/28/2024,977895.09,575135.05,45,,12/26/2023,5078.71,credit,in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla,eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus,semper sapien a libero nam dui proin leo odio porttitor,viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra,359,5018,credit card,3/22/2024,7,477883.11,3934.33,08-04-2023,1783.11
credit card,,,,,08-10-2023,742067.94,461285.73,46,,3/22/2024,341.7,credit,ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo,sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel,sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate,fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede,906,4861,credit card,07-10-2023,24,382882.39,2300.86,03-01-2024,5949.96
transaction,,,,,9/24/2023,698701.64,851061.53,47,,10-02-2023,6258.27,debit,in faucibus orci luctus et ultrices posuere cubilia curae nulla,hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at,tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis,proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam,549,3565,credit card,12-01-2023,11,976444.14,6188.86,02-11-2024,5060.98
credit card,,,,,2/20/2024,350019.88,183608.44,48,,3/25/2024,938.75,credit,varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere,lacinia erat vestibulum sed magna at nunc commodo placerat praesent,ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus,id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus,331,3002,credit card,08-11-2023,22,446412.74,7419.43,11-07-2023,6861.25
transaction,,,,,10/14/2023,436009.48,262322.65,49,,12/13/2023,5904.31,credit,ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede,donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam,faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel,lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam,771,5155,credit card,3/20/2024,31,407705.93,1111.18,11/22/2023,4184.33
home loan,,,,,01-07-2024,602700.48,433099.16,50,,12-04-2023,7953.65,debit,in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis,nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel,semper sapien a libero nam dui proin leo odio porttitor id,sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper,526,2343,credit card,7/22/2023,17,694108.21,9167.06,06-04-2023,5267.58
credit card,,,,,11-09-2023,434812.29,572634.69,51,,12-08-2023,7399.97,debit,in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum,lobortis vel dapibus at diam nam tristique tortor eu pede,adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus,enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit,754,4999,credit card,6/15/2023,22,368867.79,4399.45,12/23/2023,4389.84
savings,,,,,07-09-2023,67053.95,992364.89,52,,01-03-2024,2866.88,debit,ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus,vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus,sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper,nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo,231,6906,credit card,12/15/2023,19,430177.72,5438.6,11/28/2023,4176.57
credit card,,,,,12-08-2023,141527.92,975293.85,53,,05-08-2023,7773.35,credit,lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in,faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam,id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et,nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices,953,9946,credit card,12-04-2023,4,997692.33,1199.44,12-06-2023,7457.76
home loan,,,,,07-08-2023,597681.39,513382.58,54,,10-10-2023,7685.3,debit,integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices,eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a,posuere cubilia curae nulla dapibus dolor vel est donec odio justo,amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean,901,8754,credit card,04-02-2024,29,263725.07,3980.92,10-04-2023,4185.4
